hyb	chr_num	allele	cell_id	z	x	y	z.hat	x.hat	y.hat
13	1762	CAST	12015	2244.67068027928	53552.085736299	43377.02071474	12.9841231910879	492.792576479851	396.585233781842
14	1762	CAST	12015	2278.34229404705	53561.6904680492	43400.9487418202	13.1524812599267	492.880693284899	396.804756966064
16	1762	CAST	12015	2240.86346218736	53259.9615399323	43290.7577552793	12.9650871006283	490.112537981074	395.793830484037
17	1762	CAST	12015	2265.35198866071	53206.6002725615	43232.057321662	13.087529732995	489.622985069416	395.255294395805
18	1762	CAST	12015	1902.71593466448	53552.1953772879	43238.6028883441	11.2743494630139	492.793582360483	395.315345466283
19	1762	CAST	12015	1833.36599065244	53577.641490111	43061.2332964132	10.9275997429537	493.027032936842	393.688101503614
20	1762	CAST	12015	2061.18359199068	53422.0135222983	43129.8861107822	12.0666877496449	491.599253415624	394.317943837274
21	1762	CAST	12015	1988.77247135049	53602.6652700334	43079.6260682519	11.7046321464439	493.256608899433	393.856842529657
23	1762	CAST	12015	2021.38157857929	53625.0985755549	43140.1185122699	11.867677682588	493.462419041832	394.411819080281
24	1762	CAST	12015	2278.70927289264	53730.3011123715	42891.9533544646	13.1543161541547	494.427579930057	392.13507451326
26	1762	CAST	12015	2057.40667559476	53542.0368632223	43346.1770319597	12.0478031676653	492.700384983734	396.30226421505
28	1762	CAST	12015	2103.19794647171	53650.3381541192	43069.1603452314	12.27675952205	493.693974808477	393.76082672213
30	1762	CAST	12015	2059.28619160637	53639.8567511387	43354.7678379718	12.0572007477233	493.597815148105	396.381078949106
32	1762	CAST	12015	2066.16607839372	53639.5662488386	43361.5346437914	12.0916001816601	493.595149989388	396.443159736442
33	1762	CAST	12015	2134.64107990666	53675.3206373079	43524.7887344364	12.4339751892248	493.923171901951	397.940903687313
35	1762	CAST	12015	2224.73695659887	53530.0207856753	43278.0731032673	12.8844545726858	492.590145740184	395.677457529799
37	1762	CAST	12015	2050.01675418067	53565.487282878	43246.4150741484	12.0108535605948	492.915526448466	395.387016895681
38	1762	CAST	12015	2141.2644060076	53732.9580627283	43546.0063692171	12.4670918197295	494.451955621404	398.135560887136
39	1762	CAST	12015	1619.77567418961	53503.9454435088	43318.8834848236	9.85964816063953	492.350922417556	396.05186470004
40	1762	CAST	12015	1587.44480366792	53541.2878058125	43374.6247833574	9.69799380803108	492.693512897406	396.563252759983
0	1770	CAST	12019	4427.37403824839	123321.531574579	53381.6351231616	23.8976399809334	1132.87923554664	488.370687070114
1	1770	CAST	12019	4345.47135610534	123685.937926214	53898.2545585895	23.4881265702182	1136.22241308458	493.110314918076
3	1770	CAST	12019	4416.87971970251	123395.977076637	53517.2360779987	23.845168388204	1133.56222180405	489.614732527334
4	1770	CAST	12019	4461.62148198809	123495.201219714	53715.3194645985	24.0688771996319	1134.47253504329	491.432011303479
7	1770	CAST	12019	3998.36115078746	123732.527671175	53644.3806298229	21.7525755436288	1136.64984193743	490.781196305538
8	1770	CAST	12019	4250.0166401477	123504.367585939	53573.6223888984	23.01085299043	1134.55663014627	490.132038131919
9	1770	CAST	12019	4022.51557589074	123475.854114654	53631.1406921597	21.8733476691452	1134.2950386666	490.659728987527
10	1770	CAST	12019	4224.10580073323	123348.753013019	53296.9323572681	22.8812987933577	1133.12897351398	487.59359747476
11	1770	CAST	12019	4214.15134555102	123338.948945502	53305.3605733298	22.8315265174466	1133.03902794043	487.670920557895
12	1770	CAST	12019	4110.24728196896	123473.882877408	53461.204420795	22.3120061995363	1134.27695392122	489.100680626383
13	1770	CAST	12019	4173.84833555322	123585.783003824	53520.615182629	22.6300114674576	1135.30356058559	489.645733487245
14	1770	CAST	12019	4236.33973690887	123566.425626738	53516.4033814795	22.9424684742358	1135.12596997012	489.607093109727
15	1770	CAST	12019	4192.16877103042	123501.590342549	53419.226111634	22.7216136448436	1134.53115084911	488.715558523989
16	1770	CAST	12019	4127.93992695578	123508.644717886	53638.4252562661	22.4004694244704	1134.5958698889	490.726559850888
17	1770	CAST	12019	4104.67209694491	123556.768415462	53535.4883692382	22.284130274416	1135.03737170153	489.782184740541
18	1770	CAST	12019	4027.14464014717	123446.141095339	53523.8709518856	21.8964929904273	1134.02244215912	489.675602929966
19	1770	CAST	12019	4220.20039541815	123504.976930848	53561.9919054483	22.8617717667822	1134.56222046654	490.025336448891
20	1770	CAST	12019	4141.32261603299	123604.336620133	53680.5040039866	22.4673828698564	1135.47377724897	491.112603407957
21	1770	CAST	12019	4123.70424837101	123430.846388073	53371.6449537795	22.3792910315466	1133.88212374383	488.279034140002
22	1770	CAST	12019	3983.50219305552	123565.0957226	53759.9758045807	21.6782807549691	1135.11376901472	491.841702495976
23	1770	CAST	12019	4087.88572108167	123547.555076144	53774.2807136087	22.2001983950999	1134.95284565274	491.972940193481
24	1770	CAST	12019	3957.58820970038	123499.265548975	53456.3280102296	21.5487108381934	1134.5098224677	489.055942914774
25	1770	CAST	12019	4160.15832693914	123512.912508137	53782.3723455353	22.5615614243872	1134.6350239279	492.047175348771
28	1770	CAST	12019	3935.07484935345	123495.039623102	53302.1762577577	21.4361440364588	1134.47105250557	487.641706653563
29	1770	CAST	12019	4121.04451485926	123327.917407826	53576.075562467	22.3659923639878	1132.93782117276	490.154544311447
30	1770	CAST	12019	4142.75859482009	123341.726230048	53444.6713582982	22.4745627637919	1133.06450761516	488.949001153936
31	1770	CAST	12019	4114.88097339699	123339.875920817	53357.8830434067	22.3351746566765	1133.04753230112	488.152778081536
32	1770	CAST	12019	3964.01658896795	123371.190784632	53455.4239045703	21.5808527345313	1133.33482462969	489.047648367441
33	1770	CAST	12019	4003.07066356709	123523.969581008	53653.6134000523	21.7761231075269	1134.73646496342	490.865900619569
34	1770	CAST	12019	4225.69623030658	123265.497667153	53352.4012760104	22.8892509412244	1132.36516300145	488.102486637533
35	1770	CAST	12019	4144.48908361645	123446.022061814	53425.4241180603	22.4832152077738	1134.02135010843	488.772420968267
36	1770	CAST	12019	4103.07511318716	123304.871496165	53571.2591688937	22.2761453556273	1132.72639079055	490.110357214444
37	1770	CAST	12019	4063.92458256538	123417.325007479	53616.1163048351	22.0803927025184	1133.75807438058	490.521890571705
38	1770	CAST	12019	4212.67099883167	123322.43744803	53700.9199321037	22.8241247838498	1132.88754631225	491.299905500774
39	1770	CAST	12019	4001.74990330885	123487.570925412	53678.4659566781	21.7695193062357	1134.40253234327	491.093905726228
40	1770	CAST	12019	4355.81538473885	123062.057536094	53677.31373887	23.5398467133857	1130.49873978072	491.083334920649
0	1787	CAST	12027	6550.5188664448	8325.00054926948	71802.5542259072	34.5133641219155	77.8651894428829	657.369944893467
2	1787	CAST	12027	6796.12436475845	8363.28526646602	72293.671639256	35.7413916134837	78.2164253804659	661.875609236117
4	1787	CAST	12027	6472.09424856544	8296.99007696775	72111.0904413777	34.1212410325187	77.6082126327754	660.200552374848
5	1787	CAST	12027	6642.7639212742	8195.07444952639	72063.2315885747	34.9745893960625	76.6732068764326	659.761480330784
6	1787	CAST	12027	6619.358145391	8129.54654318758	71977.6222748815	34.8575605166465	76.072033423783	658.97607378314
7	1787	CAST	12027	6637.41302759026	8063.63640086432	71961.6431833026	34.9478349276428	75.4673532189825	658.829476612691
9	1787	CAST	12027	6433.09916584587	8270.50741671812	72294.5172643701	33.9262656189208	77.365252446999	661.883367264687
